"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.name","Input.address","Input.city","Input.state","Input.zip","Answer.events","Answer.url","Approve","Reject"
"214N9U8P9Y38LVW7XGJU6IM0JHOWFC","212RJ85OZIZE9LAK4ZFOY5EWPYPX95","Find the web site for a business and indicate if it hosts events","Given a business, find its website and indicate if it hosts events like comedy shows, concerts, open mic nights, book readings, etc.","data collection, events, listings, restaurants, bars, book readings","$0.10","Sun Jun 17 06:54:52 GMT 2012","1","","3600","604800","Sun Jun 24 06:54:52 GMT 2012","","","28F5F3Q0JG5TQLNMBB24HF9STMQHDQ","A26OLEX0PBUJDR","Submitted","Sun Jun 17 09:07:10 GMT 2012","Sun Jun 17 09:07:15 GMT 2012","Sun Jun 24 02:07:15 PDT 2012","","","","5","100% (5/5)","100% (5/5)","100% (5/5)","Crispy 'n Chips","1616 Albemarle Way","Burlingame","CA","94010","no",""
"21Z1Q6SVQ8H80LQ4LYWOJVCI1FC4N6","212RJ85OZIZE9LAK4ZFOY5EWPYPX95","Find the web site for a business and indicate if it hosts events","Given a business, find its website and indicate if it hosts events like comedy shows, concerts, open mic nights, book readings, etc.","data collection, events, listings, restaurants, bars, book readings","$0.10","Sun Jun 17 06:54:52 GMT 2012","1","","3600","604800","Sun Jun 24 06:54:52 GMT 2012","","","27J24SMEZZ2MAJMXO7ZPHY38UQ23KF","A3OYXM5KX4CTCD","Submitted","Sun Jun 17 07:53:53 GMT 2012","Sun Jun 17 07:54:13 GMT 2012","Sun Jun 24 00:54:13 PDT 2012","","","","20","100% (11/11)","100% (11/11)","100% (11/11)","Sfsu Station Cafe","390 Stonecrest Dr","San Francisco","CA","94132","no","No official website"
"22M2J1LY58B7U6MAXT6KPD16Y376RH","212RJ85OZIZE9LAK4ZFOY5EWPYPX95","Find the web site for a business and indicate if it hosts events","Given a business, find its website and indicate if it hosts events like comedy shows, concerts, open mic nights, book readings, etc.","data collection, events, listings, restaurants, bars, book readings","$0.10","Sun Jun 17 06:54:53 GMT 2012","1","","3600","604800","Sun Jun 24 06:54:53 GMT 2012","","","20YSVQ8H88MQM5LF3OMCQ1RXYYG7QG","AGBDZYCOL3NXM","Submitted","Sun Jun 17 07:41:08 GMT 2012","Sun Jun 17 07:41:45 GMT 2012","Sun Jun 24 00:41:45 PDT 2012","","","","37","100% (20/20)","100% (20/20)","100% (20/20)","Foundation Cafe & Bakery","24 San Benito Wy","San Francisco","CA","94127","","none"
"22G58B727M0I8EKRSEXYNSVF4JXBWA","212RJ85OZIZE9LAK4ZFOY5EWPYPX95","Find the web site for a business and indicate if it hosts events","Given a business, find its website and indicate if it hosts events like comedy shows, concerts, open mic nights, book readings, etc.","data collection, events, listings, restaurants, bars, book readings","$0.10","Sun Jun 17 06:54:53 GMT 2012","1","","3600","604800","Sun Jun 24 06:54:53 GMT 2012","","","2Y1Z6KW4ZMAZ9GR10SH0WNNVSB5G7S","A1NK5S5QJEOLZY","Submitted","Sun Jun 17 07:16:33 GMT 2012","Sun Jun 17 07:18:34 GMT 2012","Sun Jun 24 00:18:34 PDT 2012","","","","121","100% (9/9)","100% (9/9)","100% (9/9)","Andrew & Charlie's City Tavern","3200 Fillmore St","San Francisco","CA","94123","no","http://www.charlescitytavern.com/"
"22IXULRGNTBJVLMNCI6PFN62K5Q6S5","212RJ85OZIZE9LAK4ZFOY5EWPYPX95","Find the web site for a business and indicate if it hosts events","Given a business, find its website and indicate if it hosts events like comedy shows, concerts, open mic nights, book readings, etc.","data collection, events, listings, restaurants, bars, book readings","$0.10","Sun Jun 17 06:54:53 GMT 2012","1","","3600","604800","Sun Jun 24 06:54:53 GMT 2012","","","2XW6UXFCD45X4DTXS5ETSIN3UATUW8","A2925LRE8DOL4U","Submitted","Sun Jun 17 07:29:46 GMT 2012","Sun Jun 17 07:30:11 GMT 2012","Sun Jun 24 00:30:11 PDT 2012","","","","25","100% (7/7)","100% (7/7)","100% (7/7)","Bar At California Polk","1548 California St","San Francisco","CA","94109","","None"
"20N1Y7QEOZFYIR1M76DONXRDSSXHEG","212RJ85OZIZE9LAK4ZFOY5EWPYPX95","Find the web site for a business and indicate if it hosts events","Given a business, find its website and indicate if it hosts events like comedy shows, concerts, open mic nights, book readings, etc.","data collection, events, listings, restaurants, bars, book readings","$0.10","Sun Jun 17 06:54:56 GMT 2012","1","","3600","604800","Sun Jun 24 06:54:56 GMT 2012","","","25ZWGKCCVLL3493D1U1PY4C9OKY5VR","A3UMG7FU3P77HG","Submitted","Sun Jun 17 07:10:19 GMT 2012","Sun Jun 17 07:14:22 GMT 2012","Sun Jun 24 00:14:22 PDT 2012","","","","243","0% (0/0)","0% (0/0)","0% (0/0)","Clift","495 Geary St","San Francisco","CA","94102","no","www.clifthotel.com"
"21K74J79KQW6T7NEL7OFKD45X0SJH2","212RJ85OZIZE9LAK4ZFOY5EWPYPX95","Find the web site for a business and indicate if it hosts events","Given a business, find its website and indicate if it hosts events like comedy shows, concerts, open mic nights, book readings, etc.","data collection, events, listings, restaurants, bars, book readings","$0.10","Sun Jun 17 06:54:56 GMT 2012","1","","3600","604800","Sun Jun 24 06:54:56 GMT 2012","","","25H3TVOK5UFJX0YH5RFZNYQS264471","AGBDZYCOL3NXM","Submitted","Sun Jun 17 10:13:59 GMT 2012","Sun Jun 17 10:14:40 GMT 2012","Sun Jun 24 03:14:40 PDT 2012","","","","41","100% (20/20)","100% (20/20)","100% (20/20)","Mission Bay Cafe","Po Box 27806","Albuquerque","NM","87125","","none"
"21ICOK2JE1M7HJKJ04N6WZAC0SZUNI","212RJ85OZIZE9LAK4ZFOY5EWPYPX95","Find the web site for a business and indicate if it hosts events","Given a business, find its website and indicate if it hosts events like comedy shows, concerts, open mic nights, book readings, etc.","data collection, events, listings, restaurants, bars, book readings","$0.10","Sun Jun 17 06:54:58 GMT 2012","1","","3600","604800","Sun Jun 24 06:54:58 GMT 2012","","","2CZ4J79KQW610M4G9A6CL45XD8YIKT","A1NK5S5QJEOLZY","Submitted","Sun Jun 17 07:27:43 GMT 2012","Sun Jun 17 07:28:14 GMT 2012","Sun Jun 24 00:28:14 PDT 2012","","","","31","100% (9/9)","100% (9/9)","100% (9/9)","Golden Gate Dim Sum Seafd Rest","1829 Clement St","San Francisco","CA","94121","no","http://www.goldengatedimsumsf.com/"
"2162L92HECWAYW383P3F8CP5KL4HIP","212RJ85OZIZE9LAK4ZFOY5EWPYPX95","Find the web site for a business and indicate if it hosts events","Given a business, find its website and indicate if it hosts events like comedy shows, concerts, open mic nights, book readings, etc.","data collection, events, listings, restaurants, bars, book readings","$0.10","Sun Jun 17 06:54:59 GMT 2012","1","","3600","604800","Sun Jun 24 06:54:59 GMT 2012","","","2R6CWA6X3YOC4E0M4IBXXTINJC5ON2","A26OLEX0PBUJDR","Submitted","Sun Jun 17 08:38:32 GMT 2012","Sun Jun 17 08:40:44 GMT 2012","Sun Jun 24 01:40:44 PDT 2012","","","","132","100% (5/5)","100% (5/5)","100% (5/5)","The Grange","2639 Lombard St","San Francisco","CA","94123","no","not found"
"21K74J79KQW6T7NEL7OFKD45X0THJ1","212RJ85OZIZE9LAK4ZFOY5EWPYPX95","Find the web site for a business and indicate if it hosts events","Given a business, find its website and indicate if it hosts events like comedy shows, concerts, open mic nights, book readings, etc.","data collection, events, listings, restaurants, bars, book readings","$0.10","Sun Jun 17 06:55:00 GMT 2012","1","","3600","604800","Sun Jun 24 06:55:00 GMT 2012","","","27CNQY2RCJK6VYVOIUI0SUIAR3R4T9","A2V0GBI59MKJAF","Submitted","Sun Jun 17 08:25:48 GMT 2012","Sun Jun 17 08:27:11 GMT 2012","Sun Jun 24 01:27:11 PDT 2012","","","","83","100% (30/30)","100% (30/30)","100% (30/30)","Stacks Restaurant","68 Castro St","San Francisco","CA","94114","no","N/A"
